Office,Office (Code),Origin,Field of technology,Year,Patent Count
United States of America,US,Total,16 - Pharmaceuticals,2017,11208.0
United States of America,US,Total,24 - Environmental technology,2017,3510.0
United States of America,US,Total,32 - Transport,2017,16701.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",2018,10164.0
European Patent Office,EP,Total,6 - Computer technology,2018,10937.0
European Patent Office,EP,Total,13 - Medical technology,2018,12052.0
European Patent Office,EP,Total,16 - Pharmaceuticals,2018,6607.0
European Patent Office,EP,Total,24 - Environmental technology,2018,1755.0
European Patent Office,EP,Total,32 - Transport,2018,8407.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",2018,24569.0
United States of America,US,Total,6 - Computer technology,2018,53672.0
United States of America,US,Total,13 - Medical technology,2018,26143.0
United States of America,US,Total,16 - Pharmaceuticals,2018,11755.0
United States of America,US,Total,24 - Environmental technology,2018,3512.0
United States of America,US,Total,32 - Transport,2018,17915.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",2019,10532.0
European Patent Office,EP,Total,6 - Computer technology,2019,11230.0
European Patent Office,EP,Total,13 - Medical technology,2019,13103.0
European Patent Office,EP,Total,16 - Pharmaceuticals,2019,7006.0
European Patent Office,EP,Total,24 - Environmental technology,2019,1764.0
European Patent Office,EP,Total,32 - Transport,2019,8734.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",2019,25451.0
United States of America,US,Total,6 - Computer technology,2019,58924.0
United States of America,US,Total,13 - Medical technology,2019,29159.0
United States of America,US,Total,16 - Pharmaceuticals,2019,12998.0
United States of America,US,Total,24 - Environmental technology,2019,3508.0
United States of America,US,Total,32 - Transport,2019,18859.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",2020,11322.0
European Patent Office,EP,Total,6 - Computer technology,2020,12576.0
European Patent Office,EP,Total,13 - Medical technology,2020,13829.0
European Patent Office,EP,Total,16 - Pharmaceuticals,2020,7476.0
European Patent Office,EP,Total,24 - Environmental technology,2020,1800.0
European Patent Office,EP,Total,32 - Transport,2020,9323.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",2020,26319.0
United States of America,US,Total,6 - Computer technology,2020,64279.0
United States of America,US,Total,13 - Medical technology,2020,30005.0
United States of America,US,Total,16 - Pharmaceuticals,2020,13667.0
United States of America,US,Total,24 - Environmental technology,2020,3611.0
United States of America,US,Total,32 - Transport,2020,19545.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",2021,11258.0
European Patent Office,EP,Total,6 - Computer technology,2021,13508.0
European Patent Office,EP,Total,13 - Medical technology,2021,13685.0
European Patent Office,EP,Total,16 - Pharmaceuticals,2021,8010.0
European Patent Office,EP,Total,24 - Environmental technology,2021,1721.0
European Patent Office,EP,Total,32 - Transport,2021,8426.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",2021,24947.0
United States of America,US,Total,6 - Computer technology,2021,66405.0
United States of America,US,Total,13 - Medical technology,2021,31037.0
United States of America,US,Total,16 - Pharmaceuticals,2021,13971.0
United States of America,US,Total,24 - Environmental technology,2021,3494.0
United States of America,US,Total,32 - Transport,2021,18758.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",2022,12679.0
European Patent Office,EP,Total,6 - Computer technology,2022,14654.0
European Patent Office,EP,Total,13 - Medical technology,2022,14172.0
European Patent Office,EP,Total,16 - Pharmaceuticals,2022,8475.0
European Patent Office,EP,Total,24 - Environmental technology,2022,1812.0
European Patent Office,EP,Total,32 - Transport,2022,8961.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",2022,27568.0
United States of America,US,Total,6 - Computer technology,2022,67041.0
United States of America,US,Total,13 - Medical technology,2022,31331.0
United States of America,US,Total,16 - Pharmaceuticals,2022,14817.0
United States of America,US,Total,24 - Environmental technology,2022,3544.0
United States of America,US,Total,32 - Transport,2022,19808.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",2023,14373.0
European Patent Office,EP,Total,6 - Computer technology,2023,15320.0
European Patent Office,EP,Total,13 - Medical technology,2023,15103.0
European Patent Office,EP,Total,16 - Pharmaceuticals,2023,9267.0
European Patent Office,EP,Total,24 - Environmental technology,2023,1790.0
European Patent Office,EP,Total,32 - Transport,2023,8828.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",2023,28979.0
United States of America,US,Total,6 - Computer technology,2023,67733.0
United States of America,US,Total,13 - Medical technology,2023,30841.0
United States of America,US,Total,16 - Pharmaceuticals,2023,14526.0
United States of America,US,Total,24 - Environmental technology,2023,3380.0
United States of America,US,Total,32 - Transport,2023,19993.0
