Series Name,Series Code,Country Name,Country Code,Ease of doing business score (0 = lowest performance to 100 = best performance),Research and development expenditure (% of GDP)
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Europe & Central Asia,ECS,75.36404,2.136151067
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Europe & Central Asia (excluding high income),ECA,73.38486118,0.855971191
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Europe & Central Asia (IDA & IBRD countries),TEC,73.68249591,0.977964928
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,European Union,EUU,76.2164163,2.223908826
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Fragile and conflict affected situations,FCS,45.91378053,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Heavily indebted poor countries (HIPC),HPC,49.56284256,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,High income,HIC,73.79257238,2.705064718
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,IBRD only,IBD,65.06494545,1.469713612
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,IDA & IBRD total,IBT,58.54494225,1.427528859
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,IDA blend,IDB,56.84605118,0.231230482
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,IDA only,IDX,51.74089034,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,IDA total,IDA,52.88283421,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Late-demographic dividend,LTE,71.21783313,1.796448794
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Latin America & Caribbean,LCN,59.51091212,0.654722703
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Latin America & Caribbean (excluding high income),LAC,59.69964864,0.688784841
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Latin America & the Caribbean (IDA & IBRD countries),TLA,59.15867516,0.656922696
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Least developed countries: UN classification,LDC,48.58559795,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Low & middle income,LMY,57.98391189,1.479897456
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Low income,LIC,46.0032468,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Lower middle income,LMC,56.96197412,0.555476519
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Middle East & North Africa,MEA,60.98381857,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Middle East & North Africa (excluding high income),MNA,54.16452692,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Middle East & North Africa (IDA & IBRD countries),TMN,53.68001,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Middle income,MIC,60.92034941,1.481785975
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,North America,NAC,81.818555,3.063560371
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Not classified,INX,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,OECD members,OED,77.69736026,2.73020907
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Other small states,OSS,64.04599278,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Pacific island small states,PSS,55.65444889,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Post-demographic dividend,PST,76.52164556,2.814819271
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Pre-demographic dividend,PRE,48.00430081,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Small states,SST,59.98886158,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,South Asia,SAS,58.169245,0.610145683
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,South Asia (IDA & IBRD),TSA,58.169245,0.610145683
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Sub-Saharan Africa,SSF,51.84607375,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Sub-Saharan Africa (excluding high income),SSA,51.63631,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Sub-Saharan Africa (IDA & IBRD countries),TSS,51.84607375,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Upper middle income,UMC,64.87872471,1.666031765
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,World,WLD,63.05301157,2.3013123
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 11/13/2024,,,,,
